IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
298450.53	323328.8	449256.56	333782.56	393183.16	348363.44	288634.25	425721.97	290543.0	272745.84	359655.9	253812.17	262734.47	365998.47	393498.6	391978.9	454478.56	297685.28	149154.77	289673.72
297553.47	323739.88	449024.97	334555.75	392857.38	348596.75	289179.47	425513.25	292047.44	275200.0	361752.06	253749.14	266864.88	366525.6	393490.56	391669.62	455509.44	297106.0	148733.1	289218.62
296696.5	321866.56	448438.56	333619.9	393644.0	349640.03	288975.72	425675.44	289836.56	273634.62	360613.75	254963.36	265517.4	367910.84	395069.2	394476.4	456630.56	299072.12	148243.94	288865.9
295505.03	324625.88	450647.66	335848.6	396624.1	350604.8	288838.3	426467.34	292413.53	273638.8	363648.3	254747.16	264148.66	367736.72	395857.06	395244.28	457490.34	298432.34	150489.98	291438.7
295368.47	323623.8	449960.84	335122.62	397941.78	350216.28	287961.2	426662.72	295147.56	274431.28	363550.0	254664.66	267322.03	368383.66	395815.66	394750.75	458176.1	300461.12	150017.73	291765.4
294159.2	322380.6	449414.44	335159.25	396388.34	348797.34	286649.16	426389.44	293149.34	273941.1	364359.66	254423.78	265347.44	367408.84	394815.47	393258.5	457222.6	299629.47	148606.58	292425.28
293828.97	320990.62	447036.12	335434.8	396073.16	346675.22	285942.66	425750.53	291584.2	271650.88	361173.72	254288.12	264545.78	367357.97	392112.88	391498.75	454938.53	298858.47	147487.62	290684.47
292539.72	320366.84	444932.12	335119.5	393508.5	344684.16	286187.97	425215.28	287183.5	273649.28	360132.84	254781.14	265030.72	366206.66	390776.9	390336.6	452047.7	296139.2	145350.42	290375.9
292256.34	320655.44	446638.62	335400.28	393858.22	346006.75	287635.94	424893.7	286135.94	271673.8	362234.6	254242.55	263852.6	367135.1	391313.0	390533.75	454115.47	298171.03	145092.72	290150.9
293336.9	321024.78	447574.2	335272.9	394599.7	347121.2	286923.4	424526.1	288053.34	273478.66	363359.78	255121.9	264928.7	367720.12	391761.0	391073.97	455332.0	298192.72	145980.69	289286.62
293388.1	321262.28	447023.12	335292.84	393833.22	347768.56	286137.22	425725.16	288474.8	273670.44	361250.47	254871.45	263978.25	367772.38	391909.88	390451.1	453944.62	297444.4	145769.1	289091.22
294795.47	321596.47	448186.25	335839.03	393288.5	348086.8	287815.94	426137.56	288331.75	272703.12	362065.62	254224.3	265451.62	367010.12	393326.4	391584.78	454927.9	297459.22	146545.38	288134.12
297233.72	323366.0	450006.97	336253.88	393647.25	350192.1	287756.16	425175.7	290309.06	274785.12	364273.22	255448.64	266246.34	367791.66	394737.25	391663.2	457447.06	299396.28	147982.22	289647.38
296658.47	322413.47	451329.53	335448.94	394363.38	350291.66	287393.66	425625.75	290561.34	274002.7	362996.7	255153.33	265684.66	367691.1	395019.75	391870.3	458728.75	297685.97	148217.48	289123.28
297412.25	323588.78	451657.5	336073.34	394320.78	351126.6	288698.28	424945.47	291962.75	273930.6	362674.84	255095.08	264945.44	367332.38	396752.38	393374.47	459882.2	298112.72	149109.62	289577.8
297917.6	323391.66	452584.97	335395.16	394917.34	350127.72	289788.44	425534.0	292695.44	276713.12	363875.06	254465.97	267491.53	367810.6	397005.47	396366.84	464145.44	297472.6	151410.4	287043.1
298054.5	323833.44	453393.75	334492.03	396497.62	351077.47	288776.03	425301.16	293176.56	273840.5	364445.47	253840.52	265391.5	368674.1	397206.12	398379.75	465594.7	298193.7	153132.48	287626.4
299205.9	325476.38	452251.06	335560.4	398186.62	352305.75	288966.38	425318.6	296000.94	275093.03	363826.72	254372.47	265666.03	369556.94	397290.7	397035.38	461406.1	299866.84	153286.2	288441.56
299230.6	325623.3	450498.4	335534.97	397691.72	352768.03	288852.4	426381.25	295869.7	277039.78	363949.56	255071.6	267939.8	368852.38	395643.53	395797.4	457090.84	298939.94	152755.4	288964.84
299389.34	326339.5	448863.84	335261.2	396525.9	352746.25	288503.56	425421.84	293390.2	274653.66	364851.28	254990.08	266952.4	369090.44	394666.06	394056.75	454165.16	299379.53	150999.88	289620.03
299468.7	325700.9	449310.56	335444.22	395827.75	352821.72	288350.56	424948.84	293445.8	274242.56	364130.25	255397.86	265272.78	369603.62	394680.75	392976.6	453230.9	299186.97	149721.19	290751.28
299105.84	324823.7	449223.6	334941.66	396862.4	352680.8	288150.75	425186.1	293684.6	276297.8	362595.97	255306.44	266161.53	367846.44	394079.25	393192.5	453585.62	297875.9	150563.92	290975.66
298367.1	324115.84	450278.0	335275.0	397357.25	352175.1	288424.2	425008.7	293263.06	275032.84	361757.3	254990.3	266765.53	367843.56	394204.25	394032.6	455627.88	297389.44	150829.11	291038.8
298586.3	323569.25	451538.44	335044.5	397035.7	351471.4	288238.3	425746.47	294571.1	278762.53	363836.72	253354.56	269897.5	367907.38	395618.06	395923.8	460228.66	298288.44	152593.4	291917.12
297679.88	322693.53	453350.53	334696.88	398017.34	351806.53	288681.44	424764.06	293811.94	274184.78	362806.22	254913.25	267969.72	369282.44	397017.44	398217.34	462755.94	299653.4	151621.64	290073.5
299107.06	325972.97	452258.94	335247.6	397012.25	352831.5	288778.75	425616.53	296185.78	277476.94	364711.84	255417.88	269564.78	369910.1	397437.72	399320.5	462786.88	298812.5	153556.19	291814.8
299147.7	325625.28	449571.94	335229.78	396224.03	352456.0	288992.78	426313.12	295503.38	275174.25	364916.72	255105.98	268199.47	369637.0	395038.75	396412.06	459424.97	299726.22	153744.6	290652.56
299040.44	324976.72	447514.34	335609.03	396054.12	352295.03	288933.97	425779.0	294072.88	274048.62	365776.4	255130.62	265888.47	369496.62	393205.62	392641.25	455176.56	299652.84	152972.17	290813.84
297307.88	323004.28	445939.28	334925.66	394616.0	349560.28	287491.28	425551.12	291745.88	275181.94	362141.94	255476.67	265627.25	368879.22	392021.16	391758.8	452599.28	298559.16	151439.98	289962.38
296326.03	321943.25	446455.78	334118.88	391507.0	346926.4	288307.88	425152.75	289304.34	272704.94	359730.22	254425.44	264075.3	366834.78	391236.4	390646.94	451171.34	297910.62	149703.97	287279.38
296553.72	321242.22	447327.3	333588.88	391192.5	347225.53	289142.25	424987.6	290761.28	275205.94	361858.38	253602.95	267744.8	366571.4	391973.25	390543.2	453423.25	298765.25	149500.0	288464.1
295881.03	321065.5	448302.44	333565.66	392935.4	349508.62	288634.72	425627.03	288133.03	270385.1	364161.06	253421.92	267743.16	369471.16	394519.25	392668.5	456691.53	301194.97	148364.69	288355.3
297024.97	321653.16	448637.7	333687.6	393259.16	350314.2	289073.94	427000.12	292177.9	276553.4	360905.62	253456.36	267308.4	367346.5	395801.38	391667.44	452751.28	298351.9	152272.88	288553.25
296179.22	322621.22	449665.78	333579.66	394414.2	350654.22	290973.66	426358.0	292600.06	271839.06	361222.03	251747.97	263586.03	367385.9	396331.22	390737.8	452905.4	299637.94	150599.42	289191.84
295128.75	322199.66	446802.28	333968.0	391943.3	349598.94	288321.75	426598.16	291268.6	273032.03	360627.1	253518.45	262857.38	367189.5	395818.62	389682.2	451149.34	298239.56	147159.23	290294.75
295931.7	321554.22	445480.66	333446.56	392428.66	348093.4	288637.38	427023.5	289423.1	271021.75	358695.3	252997.05	263300.25	365393.9	391884.7	388729.56	449132.44	297839.38	146753.6	289269.9
294563.84	321170.62	444437.94	333754.38	388927.3	346406.06	287840.75	425881.84	286539.78	271940.47	357933.56	253123.2	263314.12	363929.03	389381.75	388627.78	449166.44	296464.8	144564.53	289001.12
292939.6	318800.84	444952.34	333498.72	389313.22	346171.1	289124.8	425703.97	285505.66	269432.6	359422.1	251517.47	260918.12	364849.66	389010.97	388270.56	449576.72	296786.5	145721.88	287967.38
291924.56	318505.38	445382.28	333482.5	389942.0	344293.75	287979.72	424957.84	285601.38	271228.56	357172.9	252854.55	262059.23	364721.97	390310.56	390125.97	452367.9	296016.4	146241.12	286825.4
292538.25	319940.6	446467.34	334545.25	390846.28	343993.38	287798.25	425247.3	285270.4	270875.16	357715.62	252732.08	261796.84	364832.06	391227.12	392164.66	456467.94	295694.28	146086.14	286207.0
293149.28	319934.97	448570.0	335178.6	390874.84	345683.8	288866.97	425252.12	287083.06	271636.88	360071.9	253049.19	262206.44	365509.8	393250.62	393835.34	458463.22	296682.12	145756.62	287234.94
293629.5	320399.53	449342.3	334786.34	392678.25	346144.78	287735.62	425690.4	287481.78	273354.7	360736.12	253547.38	263031.2	366524.6	393816.03	395370.16	460295.4	296526.28	146730.34	287079.62
295713.2	322721.88	450648.56	334630.88	394521.28	346981.44	288222.66	425700.0	289325.8	271980.28	359753.5	254113.14	262284.8	366559.22	394933.0	396140.53	461216.03	297705.5	147845.78	289568.97
