IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
282484.78	329333.72	475669.44	352481.88	377708.6	340805.9	293859.62	455635.53	299310.75	307491.72	330462.84	241420.45	269442.78	422652.6	392786.47	411084.94	443027.6	314381.03	126911.56	301386.66
282929.5	329143.62	475971.8	352881.2	380473.47	340896.7	293430.56	455019.0	299137.72	305520.75	327855.5	241988.77	269429.22	422907.4	393411.25	411327.3	443771.28	313516.6	127631.42	301678.47
282277.6	328849.44	476365.88	352826.0	380693.7	339716.56	292738.44	454319.34	300939.16	306212.22	328240.16	242529.7	268287.38	422674.7	392266.62	409119.12	442569.94	314583.34	128417.75	302672.2
281637.8	327745.12	475341.2	352546.84	381199.1	339631.03	293468.56	454440.22	298225.22	306926.9	327027.72	241444.72	270668.47	422821.75	393409.3	409943.72	443386.06	313070.03	127734.75	301340.0
281789.16	328789.94	475137.6	353380.22	381362.88	339986.34	294387.06	454819.12	298188.78	306105.38	328062.16	241458.86	271270.34	422133.6	392622.84	411241.84	443062.66	313057.16	128706.414	301244.1
281256.6	328783.44	473999.72	353002.28	379434.3	339235.44	293692.62	454364.94	299661.56	304552.78	325232.53	242859.81	271964.34	421378.0	392204.34	408416.8	440667.0	314352.0	128331.58	302503.47
280515.6	327702.56	473371.75	352488.12	379272.53	338626.9	293814.2	454709.4	297480.7	306253.6	324262.72	242106.98	270390.66	422259.22	392461.78	408234.88	440994.06	312738.88	126681.31	301178.78
281578.6	328004.25	474966.9	352905.03	380479.12	339616.38	294729.16	454789.38	297192.9	306455.28	327308.62	241273.56	270669.75	422509.75	393346.47	411685.0	444550.78	313091.88	127456.29	300533.4
281565.1	329607.2	476150.38	353390.62	380673.88	339880.97	293380.94	454730.44	300302.5	306163.03	327428.56	242159.45	273683.56	421605.84	393815.78	410005.12	444533.97	314136.6	128620.734	302997.7
279534.6	328229.25	474341.0	352338.4	379417.78	338393.75	293797.3	455378.4	297644.97	305581.22	326546.9	240784.25	272664.12	421374.75	393227.28	410530.97	443612.22	313585.4	127093.586	300025.53
280516.53	329635.03	474617.62	353465.16	378704.84	338805.5	294710.5	454380.03	297620.84	305083.53	327910.34	240597.0	271832.47	421680.28	392201.28	410693.12	443932.1	314200.2	127112.7	301357.94
282234.4	329759.16	475088.44	353546.2	379792.8	340635.9	295149.6	454486.22	298535.7	306650.44	329947.62	241419.45	272197.8	422821.3	391966.1	410718.28	444239.56	314965.34	128832.22	301155.84
282183.44	328901.8	474785.44	352807.22	379210.4	340364.97	294893.72	454899.62	299286.0	305616.6	329194.44	240484.88	272447.88	423023.2	391378.25	411512.5	443241.62	313697.12	129828.33	301102.84
281287.47	329606.34	473749.25	353123.34	376566.06	338702.4	294873.03	454444.66	299294.56	305034.06	328200.56	240128.67	272878.2	420988.16	391010.38	407996.56	439650.12	313349.7	127679.95	300716.47
281617.1	328742.9	473500.03	352624.25	377299.53	338530.94	294900.56	454365.25	295893.28	306454.12	329343.4	239481.55	270019.34	422558.66	391591.03	410596.5	442428.16	313761.97	126884.914	299442.25
282566.97	329310.8	475527.7	353717.0	380047.12	338734.06	293149.78	455057.4	298351.78	305388.22	331186.9	239925.1	267858.97	423323.25	391711.38	411080.7	443938.78	314381.16	128098.34	301060.1
282127.25	328539.3	473673.4	353585.78	379312.4	336780.62	292976.6	454843.62	297783.94	304692.3	328500.34	239699.72	271010.25	421431.0	390533.56	407669.12	441345.88	315072.5	127746.53	299995.66
282072.0	328031.3	472266.56	353073.84	379089.97	337253.44	294140.38	454811.12	296637.66	305543.6	326692.4	239379.31	272700.78	419826.38	390071.72	408438.53	440376.47	312340.84	127813.6	299456.5
281068.72	327373.97	473813.47	353085.94	379096.75	337688.4	294338.03	453351.88	295497.88	304826.3	327860.7	239890.39	271188.1	421627.0	390324.97	409110.1	441591.06	313842.6	127650.42	299106.12
282591.0	330191.78	475704.25	353917.34	379054.8	340257.3	294499.22	454833.06	298888.97	305675.1	328061.72	240824.06	272995.66	421407.47	391609.94	408687.9	441378.62	313032.84	129346.414	301179.88
280434.06	326126.75	474290.44	352759.1	378416.66	338920.47	293743.0	455208.12	297245.4	305039.97	324036.06	240340.84	272140.56	421467.56	391144.8	407393.75	440578.25	314318.97	127067.24	298765.28
281026.5	326814.28	474720.22	352746.28	378114.34	339329.75	293772.44	453489.5	296388.66	304903.16	326123.66	240780.84	266436.8	422538.88	392445.56	407878.5	442534.16	314231.06	126751.78	299965.5
281119.4	327524.84	476441.7	352574.22	377779.72	339403.4	293995.2	452512.78	298210.03	305721.97	327569.8	241200.56	265821.3	423036.62	392839.5	409009.9	445011.6	313294.56	127024.41	301092.34
281494.53	328289.22	476774.34	353122.16	378570.1	340114.62	294185.3	453634.8	298464.53	307431.03	329514.44	241513.84	266961.53	423443.75	393952.12	410881.72	446719.56	313253.44	127615.31	301737.4
281374.97	329580.34	476305.4	353815.88	378055.3	339716.25	293360.03	453713.5	298483.72	305271.94	329345.94	240957.97	269256.47	422499.7	391323.56	409110.12	443109.75	314201.12	127466.87	301586.44
281376.06	329511.56	476371.9	353988.8	378642.22	340358.38	294491.47	453813.03	298749.56	306357.62	329996.2	241725.55	270602.6	421956.47	391823.62	409975.06	443438.2	314631.84	127192.08	302211.7
281883.06	330516.94	477348.25	354223.38	379183.97	340575.0	294529.9	455045.53	299731.78	306236.44	328116.28	240937.11	273426.62	421128.66	392840.4	410021.03	443547.34	312479.0	128682.67	301960.47
280981.8	328027.94	475177.47	353111.38	378330.66	340047.5	294424.5	454134.7	297517.53	305064.4	325612.0	240805.75	273352.16	420676.34	392009.0	410056.66	442495.62	313187.75	127542.75	300892.9
281782.44	327844.53	475860.38	352323.2	378774.53	340723.94	293397.1	453430.84	300668.9	306551.62	325589.34	242129.72	271805.3	421971.06	392993.9	409136.75	442509.97	313390.4	127771.375	302282.78
281769.25	327664.34	476529.75	352555.62	380671.78	341405.12	294398.38	454025.06	298496.1	306059.06	325792.4	241874.08	268518.28	423455.9	394682.8	411324.38	444800.94	313086.8	127553.97	301000.16
282518.72	329274.7	476644.5	353353.97	378877.03	341285.1	293960.75	452661.5	300317.47	305705.34	328007.9	243538.98	267459.22	422417.5	392787.84	410098.25	441664.16	313868.56	128072.766	303609.7
282283.72	329593.8	476125.47	353204.28	378252.88	340868.1	294641.3	454559.66	299944.22	307082.12	328338.28	242228.94	272161.16	421401.75	392618.3	409378.6	440957.62	312811.7	128468.65	302025.94
281840.84	328281.0	475714.94	353021.38	378513.25	340467.66	294776.47	453683.0	297630.75	306083.8	328146.62	241637.77	272584.78	420645.56	392510.12	411864.66	443380.22	311710.7	127522.7	300643.84
282294.84	330270.28	475847.62	353914.56	379025.75	341087.62	295416.2	453041.53	298099.9	304817.84	328126.75	242504.28	271828.0	420479.72	393415.62	413879.0	444534.7	311317.34	128793.75	301537.03
283135.4	329253.38	477069.5	352340.53	379699.84	342547.88	295406.6	454097.66	301177.25	307165.56	326410.5	242714.38	274276.66	421164.03	394073.9	414120.06	445716.0	311929.4	130753.47	302731.03
282686.53	329273.06	476822.06	352753.12	380389.38	341810.97	295460.8	453794.0	298700.38	306727.88	327385.34	241647.42	272287.8	421105.34	393616.62	416255.72	447445.94	312136.03	129920.75	301079.84
282581.7	329639.78	476671.22	353348.34	380688.1	341881.06	294322.6	453043.06	299999.66	304747.47	325193.38	242683.89	271418.34	421602.4	393606.6	415726.1	446414.84	313540.5	130099.766	302148.12
282612.4	328427.84	475151.66	352059.03	378695.8	341197.84	293742.66	453661.28	300749.66	307398.97	328716.53	243073.44	268878.75	423041.75	392234.44	413827.2	445314.94	313572.3	130358.58	302455.25
282735.06	326668.7	475875.2	351527.88	379503.53	340910.6	294111.25	452758.28	298491.2	305780.9	330209.2	241288.33	268266.62	422470.62	392160.5	414205.28	444811.06	313028.34	129686.14	300724.34
283037.28	329929.2	475103.4	352867.72	379014.1	341383.7	294933.88	452603.66	299546.7	306128.25	331015.06	242483.12	269754.44	421966.12	392397.12	413077.7	442065.03	312333.62	130140.05	302272.1
