IC01	IC02	IC03	IC04	IC05	IC06	IC07	IC08	IC09	IC10	IC11	IC12	IC13	IC14	IC15	IC16	IC17	IC18	IC19	IC20
293055.38	328765.47	425729.47	342819.03	396077.34	339600.6	283092.9	416816.03	307189.03	302186.47	331047.06	249651.16	317482.12	436096.4	404447.06	416482.8	455829.56	274712.4	112723.83	289983.4
294394.16	328110.22	425215.84	342570.3	397081.28	340571.94	282823.1	415281.3	308008.0	302671.56	331818.72	249975.52	316778.78	435815.72	404450.4	416266.12	455852.94	275127.38	113365.36	290995.16
293204.84	327881.03	424283.22	342878.3	396990.78	340075.03	282286.2	415926.1	306288.34	303166.7	332973.16	250204.77	315800.1	436428.72	404043.6	417733.72	457153.88	273451.62	113105.66	289958.56
293002.97	328951.2	425037.7	343088.12	396124.44	340542.66	282973.1	415794.84	307222.3	301160.66	329882.84	249207.84	316260.94	436934.94	405032.06	417832.78	456440.78	274320.72	113380.17	291869.56
293756.34	330046.03	426805.28	342408.94	396649.0	341405.62	283817.94	416760.0	308508.16	304435.62	330522.9	249606.84	316121.28	437587.94	405723.2	419305.9	457390.16	274064.34	113977.61	291361.47
292885.0	329867.4	426369.3	342392.25	394022.6	341649.03	283194.2	415922.9	308212.16	302241.66	329688.16	249482.94	316121.97	437926.4	405677.1	419282.1	457010.78	273491.53	113329.14	291085.75
292813.56	330379.7	426603.22	342073.7	395439.47	340847.56	283749.66	416098.25	309687.0	302763.5	330639.4	249629.38	317211.9	437376.62	406686.28	419630.16	456968.8	274595.97	113567.06	290540.75
293347.47	329810.0	427325.34	341967.34	396963.0	339851.94	284111.44	416809.75	308955.62	304531.4	332460.97	249002.08	317948.06	436886.06	407453.12	419388.2	457630.25	273404.56	113833.16	290808.9
292713.16	329513.34	426789.2	342426.78	396687.53	339411.9	284234.97	416118.22	309173.47	301944.38	331946.0	248563.16	316982.34	436967.38	406620.72	418057.47	456561.88	273922.16	114259.82	290564.75
293469.75	330700.06	426826.25	342366.97	397849.94	341308.75	284407.62	415981.16	309741.1	303598.88	334346.47	250363.11	315737.53	437279.88	407033.0	418948.5	457169.25	274288.62	114412.63	292428.7
293973.7	330549.7	426177.4	342230.25	396739.84	341257.28	284972.62	416731.7	308549.88	303047.88	334505.44	249018.83	315757.78	438071.84	407211.94	419639.97	456899.9	274245.3	114356.375	291475.7
294003.12	331275.28	426373.72	342867.62	394640.97	341083.66	284498.3	416856.84	310187.03	301625.66	333835.78	249043.02	314414.1	437272.78	406592.06	419238.94	455705.0	274594.4	113847.55	291253.62
294240.7	330265.6	425058.4	342291.53	394904.78	341096.78	285023.34	416642.12	309743.84	304064.28	334485.62	249827.34	315881.72	437050.8	406642.44	418672.5	456295.06	274510.6	114876.44	290845.66
294274.0	329809.16	425970.12	342697.28	396693.1	341496.2	284464.28	417325.66	308850.2	303730.2	334977.47	249469.66	315790.7	437864.78	407361.44	418280.03	456949.4	274178.72	115184.164	291237.78
293978.66	330274.28	425726.47	342561.78	397485.62	340919.9	284447.75	416388.62	309387.78	301879.9	334218.75	249051.8	315181.97	437438.03	405736.78	417248.0	456587.97	273656.16	115228.94	291823.7
293793.25	331067.38	426198.03	342916.1	397259.9	341393.88	284015.56	415966.44	309792.2	303731.28	334838.78	249994.31	315706.38	437817.5	406042.12	418150.38	459287.47	274182.3	116192.945	291896.12
293613.62	331277.03	425810.03	342610.8	397740.47	341394.25	283222.62	416629.75	308805.9	302966.03	334666.06	249043.23	317149.7	437552.28	405969.34	418994.06	460012.03	273817.56	115592.79	291366.44
294136.47	330860.97	424744.38	342639.2	397193.44	342383.84	282977.8	415535.5	308373.88	301850.06	333020.7	248716.86	316678.28	436572.94	404999.56	419645.38	458470.25	274117.03	114157.9	291751.0
294918.88	331483.12	425253.62	342216.84	397663.16	343692.62	283685.25	415630.25	309249.16	303617.6	333750.8	250032.6	317254.6	436692.38	406094.0	419659.6	457585.4	274406.0	114288.734	293145.06
293859.4	330708.9	425553.3	342484.53	396202.38	341957.84	282973.28	416897.1	308616.38	303285.03	333095.7	248910.42	318066.78	436977.8	406303.06	420299.1	457668.4	274385.7	113839.266	291549.9
293358.25	330278.28	426685.25	342518.8	394934.16	340751.62	283406.25	416119.62	310152.47	303075.3	332644.75	249787.48	319404.0	436132.94	406294.9	419185.78	457069.12	274950.9	113536.58	291658.56
292556.6	329451.34	426704.62	342007.53	394380.06	340635.22	283427.75	416181.4	308364.38	303644.66	331198.78	249651.45	318910.75	436781.84	406823.9	418973.84	456678.94	273783.78	112960.695	291257.88
292963.97	329917.62	427505.6	342269.66	396273.84	340458.47	283139.9	415724.62	308657.2	302403.53	331506.84	250321.19	317505.5	437429.47	407199.4	419894.4	458230.47	275029.28	112052.125	292706.2
294187.3	330240.25	428535.25	341894.1	397251.6	341201.88	282982.78	415719.3	309529.44	305254.2	331100.7	251632.22	318695.38	437965.4	407407.44	420694.0	459030.4	274465.12	113572.41	294671.5
293794.97	329744.88	427662.44	343023.56	396803.34	340453.9	283620.0	415679.8	309942.6	303672.53	330320.3	251077.16	317129.03	438310.0	407360.2	420199.03	458116.72	274994.88	112877.53	293934.94
294181.22	331311.12	428411.62	342616.8	396166.9	341127.0	283821.44	416493.16	309652.9	304125.28	330798.6	251296.7	316109.84	438528.56	407613.2	419211.5	456568.88	274538.25	114418.234	293333.06
294021.8	330460.44	426714.03	342430.3	397247.4	340783.6	283707.0	416108.53	309321.5	302443.56	331361.6	249922.86	313516.5	438495.88	406389.84	418491.16	456306.47	274353.94	113364.875	290591.03
295385.16	329985.16	426376.8	341775.25	397365.22	342168.56	283526.5	415783.3	310602.4	304426.88	333679.88	250263.36	314553.56	437071.2	404589.4	417952.12	455924.28	273949.06	114009.88	291447.53
294948.72	330176.62	424410.16	342480.75	396677.44	341199.6	283448.75	416645.56	308032.66	301963.0	332857.94	249103.98	316486.1	435377.88	404693.72	417143.03	454746.4	273287.28	113523.766	289900.88
294030.06	329713.0	425371.4	342494.38	395330.88	340823.5	283195.03	415908.56	308532.53	302748.9	331736.44	250033.33	318655.25	436158.88	405526.06	417309.0	455319.0	274025.75	112595.14	291252.2
